ticker,event_id,rdq,post_dt,score,num_comments,raw_compound,adp_compound,compound_delta,raw_label,adp_label,text_clean,text_processed
MU,MU_20200325,2020-03-25,2020-03-21,108,18,0.9792,-0.9556,-1.9348,positive,negative,"Wall Street Week Ahead for the trading week beginning March 23rd, 2020 Good Saturday afternoon to all of you here on r/wallstreetbets. I hope everyone on this sub made out pretty nicely in the market this past week, and is ready for the new trading week ahead.nnHere is everything you need to know to get you ready for the trading week beginning March 23rd, 2020.nn# **Another harrowing week looms fo","Wall Street Week Ahead for the trading week beginning March 23rd, 2020 Good Saturday afternoon to all of you here on r/wallstreetbets. I hope everyone on this sub made out pretty nicely in the market this past week, and is ready for the new trading week ahead.nnHere is everything you need to know to get you ready for the trading week beginning March 23rd, 2020.nn# **Another harrowing week looms fo"
MSFT,MSFT_20200429,2020-04-29,2020-04-25,30,63,0.877,-0.8731,-1.7500999,positive,negative,"DD - $FLIR big news breaking this weekend! For those uninitiated, read my and u/Vainglory27 's DD. All credit goes to him for discovering this opportunity.nn&nbsp;nnFor those of you who read and followed my DD on Tuesday morning:nnI'm sorry for those who bought FLIR calls at the peak of $43 and then paper-handed at a loss later this week. Buy high, sell low. nn&nbsp;nnBut to those of you that held","DD - $FLIR big news breaking this weekend! For those uninitiated, read my and u/Vainglory27 's DD. All credit goes to him for discovering this opportunity.nn&nbsp;nnFor those of you who read and followed my DD on Tuesday morning:nnI'm sorry for those who bought FLIR calls at the peak of $43 and then paper-handed at a loss later this week. Buy high, sell low. nn&nbsp;nnBut to those of you that held"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-25,2182,652,-0.7218,0.9871,1.7089,negative,positive,"MOATA/DD for the MOASS - There will be more than one GME Squeeze nThe actual research is way, way to long to post here. It's an 8-page document you can find here.nn nn# Mother of all TA for the Mother of All Squeezesnn# WHY GME WILL SQUEEZE MORE THAN ONCEnnWarning – no rocket emojis or wife’s boyfriend jokes here. The tendies we are about to suckle upon are above jokes. This is serious fucking ten","MOATA/DD for the MOASS - There will be more than one GME Squeeze nThe actual research is way, way to long to post here. It's an 8-page document you can find here.nn nn# Mother of all TA for the Mother of All Squeezesnn# WHY GME WILL SQUEEZE MORE THAN ONCEnnWarning – no rocket emojis or wife’s boyfriend jokes here. The tendies we are about to suckle upon are above jokes. This is serious fucking ten"
GOOGL,GOOGL_20210202,2021-02-02,2021-01-26,149,77,-0.972,0.7279,1.6999,negative,positive,"TSLA will beat earnings AND have a reveal on Wednesday It’s time we get back to our roots boys. Reading is hard but writing is harder, so be patient n with me or skip to the bottom.nnThis Wednesday TSLA has earnings, and they will have a reveal as well. Earnings are after hours. That being said, there are a few reasons to get in now.nnA new product is coming, which will be revealed Wednesday. I be","TSLA will beat earnings AND have a reveal on Wednesday It’s time we get back to our roots boys. Reading is hard but writing is harder, so be patient n with me or skip to the bottom.nnThis Wednesday TSLA has earnings, and they will have a reveal as well. Earnings are after hours. That being said, there are a few reasons to get in now.nnA new product is coming, which will be revealed Wednesday. I be"
TSLA,TSLA_20210127,2021-01-27,2021-01-26,149,77,-0.972,0.7279,1.6999,negative,positive,"TSLA will beat earnings AND have a reveal on Wednesday It’s time we get back to our roots boys. Reading is hard but writing is harder, so be patient n with me or skip to the bottom.nnThis Wednesday TSLA has earnings, and they will have a reveal as well. Earnings are after hours. That being said, there are a few reasons to get in now.nnA new product is coming, which will be revealed Wednesday. I be","TSLA will beat earnings AND have a reveal on Wednesday It’s time we get back to our roots boys. Reading is hard but writing is harder, so be patient n with me or skip to the bottom.nnThis Wednesday TSLA has earnings, and they will have a reveal as well. Earnings are after hours. That being said, there are a few reasons to get in now.nnA new product is coming, which will be revealed Wednesday. I be"
AMZN,AMZN_20210202,2021-02-02,2021-01-26,149,77,-0.972,0.7279,1.6999,negative,positive,"TSLA will beat earnings AND have a reveal on Wednesday It’s time we get back to our roots boys. Reading is hard but writing is harder, so be patient n with me or skip to the bottom.nnThis Wednesday TSLA has earnings, and they will have a reveal as well. Earnings are after hours. That being said, there are a few reasons to get in now.nnA new product is coming, which will be revealed Wednesday. I be","TSLA will beat earnings AND have a reveal on Wednesday It’s time we get back to our roots boys. Reading is hard but writing is harder, so be patient n with me or skip to the bottom.nnThis Wednesday TSLA has earnings, and they will have a reveal as well. Earnings are after hours. That being said, there are a few reasons to get in now.nnA new product is coming, which will be revealed Wednesday. I be"
NFLX,NFLX_20220719,2022-07-19,2022-07-16,5,14,0.8686,-0.8009,-1.6695,positive,negative,"Puts on everything...An attempt at making somewhat educated Options contract buys rather than doing degenerate gambling...(Not going well so far, so you should probably just go ahead and buy those 0DTE YOLOS) **TLDR:**nnMy theory is simple, the Feds printer going Brrrrrrrrrrr overinflated the value of pretty much every stock in the stock market from the covid bottom of 2020 until EOY 2021 when the","Puts on everything...An attempt at making somewhat educated Options contract buys rather than doing degenerate gambling...(Not going well so far, so you should probably just go ahead and buy those 0DTE YOLOS) **TLDR:**nnMy theory is simple, the Feds printer going Brrrrrrrrrrr overinflated the value of pretty much every stock in the stock market from the covid bottom of 2020 until EOY 2021 when the"
TSLA,TSLA_20210726,2021-07-26,2021-07-24,0,19,-0.9126,0.744,1.6566,negative,positive,"PART 2 OF RETARD SPREAD; THE RESULTS $993 profits, threw back in $500 like a retard on puts; Tesla dipped and could have pulled to profit $300 more; was retarded and diamond handed, lost $500 -- WHAT STOCK DO I RETARD SPREAD NEXT WEEK? Goal to hit $1,700 EOW(07/26) via retard spreads.","PART 2 OF RETARD SPREAD; THE RESULTS $993 profits, threw back in $500 like a retard on puts; Tesla dipped and could have pulled to profit $300 more; was retarded and diamond handed, lost $500 -- WHAT STOCK DO I RETARD SPREAD NEXT WEEK? Goal to hit $1,700 EOW(07/26) via retard spreads."
INTC,INTC_20210121,2021-01-21,2021-01-14,406,128,-0.6583,0.9697,1.628,negative,positive,"STOP SLEEPING ON AMD AMD is currently trading at a 10% discount thanks to the Intel bulls (AMD bears) who believe their new CEO can make their stock move - except this loser couldn't even make his previous company (VMW) move during the biggest bull market of our time. VMW has traded side ways for the last 52 weeks! (wtf)nnJust days ago AMD hit an all time high of $99, today it's at $90. nI'm sure ","STOP SLEEPING ON AMD AMD is currently trading at a 10% discount thanks to the Intel bulls (AMD bears) who believe their new CEO can make their stock move - except this loser couldn't even make his previous company (VMW) move during the biggest bull market of our time. VMW has traded side ways for the last 52 weeks! (wtf)nnJust days ago AMD hit an all_time_high of $99, today it's at $90. nI'm sure "
INTC,INTC_20180726,2018-07-26,2018-07-21,30,8,0.6509,-0.9547,-1.6056,positive,negative,"Incredibly shitty Earnings DD, but at least I tried I really wish there were a ""shitty dd"" flair option, but whatever. Anyway, this is just a bunch of notes I've taken the past few hours cause what else am I supposed to do on a Friday evening, socialize? Fuck that. Also, please note most of these notes are based solely on technicals and little to no effort has gone into looking at previous earning","Incredibly shitty Earnings DD, but at least I tried I really wish there were a ""shitty dd"" flair option, but whatever. Anyway, this is just a bunch of notes I've taken the past few hours cause what else am I supposed to do on a Friday evening, socialize? Fuck that. Also, please note most of these notes are based solely on technicals and little to no effort has gone into looking at previous earning"
AMD,AMD_20180725,2018-07-25,2018-07-21,30,8,0.6509,-0.9547,-1.6056,positive,negative,"Incredibly shitty Earnings DD, but at least I tried I really wish there were a ""shitty dd"" flair option, but whatever. Anyway, this is just a bunch of notes I've taken the past few hours cause what else am I supposed to do on a Friday evening, socialize? Fuck that. Also, please note most of these notes are based solely on technicals and little to no effort has gone into looking at previous earning","Incredibly shitty Earnings DD, but at least I tried I really wish there were a ""shitty dd"" flair option, but whatever. Anyway, this is just a bunch of notes I've taken the past few hours cause what else am I supposed to do on a Friday evening, socialize? Fuck that. Also, please note most of these notes are based solely on technicals and little to no effort has gone into looking at previous earning"
